cagrLucrosCincoAnos,cagrReceitasCincoAnos,divLiquidaEbit,divLiquidaEbitida,divLiquidaPl,dy,evEbit,evEbitida,giroAtivos,liqCorrente,lpa,mBruta,mEbit,mEbitda,maxCiquentaDuaSemana,maxMes,minCiquentaDuaSemana,minMes,mliquida,pAtivoCircLiq,pCapGiro,pEbit,pEbitida,passivoAtivo,pativo,pegRatio,pl,plAtivo,psr,pvp,roa,roe,roic,somaDyDozeMeses,ticker,tipoAtivo,valorAtual,valorizacaoAtivoDozeMeses,valorizacaoBaseDiaAnterior,valorizacaoMesAtual,vpa
-%,-%,"-9,18","310,91","6,34",-,"-47,73","1.616,45","0,26","0,72","-0,49","33,12%","-23,64%","0,70%","17,71","R$ 17,71","14,66","R$ 16,35","-25,40%","-2,96","-32,83","-38,55","1.305,54","0,91","2,41","0,06","-35,88","0,09","9,11","26,60","-6,71%","-74,15%","-11,47%","R$ 0,0000",ELMD3,ON,"17,71","1,20%","0,11%","8,32%","0,67"
-%,"-2,24%","-1,89","-1,89",-,-,"-1,91","-1,91","0,13","0,02","-337,35","100,00%","-10.956,88%","-10.956,88%",-,"R$ 4,01",-,"R$ 4,01","-10.958,54%","-0,20","-0,04","-0,01","-0,01","48,10","0,17","0,00","-0,01","-47,10","1,30","0,00","-1.459,90%","-31,00%","74,65%","R$ 0,0000",HETA3,ON,"4,01",-%,"0,00%",-%,"-1.088,28"
-%,-%,"-4,34",-,-,-,"-102,14",-,"1,94","0,83","-0,38","40,05%","-3,59%",-%,"26,40","R$ 22,26","19,90","R$ 19,90","-6,67%","-20,78","-48,08","-97,80",-,"1,06","6,83","-9,93","-52,64","-0,06","3,51","-113,30","-12,98%","-215,23%","-21,92%","R$ 0,0000",MBLY3,ON,"19,90","-24,62%","-2,40%","-10,60%","-0,18"
-%,-%,"0,13","0,12","0,08",-,"44,15","40,15","1,03","1,63","0,48","92,13%","27,01%","29,70%","41,03","R$ 22,24","19,50","R$ 20,51","26,11%","-27,37","57,69","44,02","40,03","0,51","12,29",-,"45,52","0,49","11,89","25,02","27,00%","54,96%","38,28%","R$ 0,0000",MOSI3,ON,"21,72","-44,31%","2,02%","5,90%","0,87"
"47,08%","3,80%","-0,85",-,"-0,56",-,"-0,85",-,"1,86","2,06","0,32","32,79%","13,39%",-%,-,R$ -,-,R$ -,"8,23%","0,00","0,00","0,00",-,"0,62","0,00","0,00","0,00","0,38","0,00","0,00","15,32%","40,38%","26,03%","R$ 0,1558",BRQB3,ON,"0,00",-%,"0,00%",-%,"0,79"
"33,47%","8,45%","2,56","1,93","0,92","5,77","9,60","7,24","0,63","0,96","3,16","22,40%","16,55%","21,94%","33,78","R$ 31,23","26,42","R$ 30,00","11,79%","-1,02","-60,57","7,04","5,31","0,71","0,73","0,28","9,88","0,29","1,16","2,53","7,42%","25,59%","12,15%","R$ 1,8010",CPFE3,ON,"31,23","10,08%","2,23%","4,03%","12,35"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-%,"-2,17%","-0,86","-1,21","0,07",-,"-5,62","-7,91","0,07","1,76","-8,56","22,36%","-65,25%","-46,36%","54,19","R$ 54,19","42,10","R$ 54,19","-54,53%","-0,26","10,21","-5,29","-7,45","0,41","0,25","-0,13","-6,33","0,59","3,45","0,42","-3,94%","-6,63%","-8,90%","R$ 0,0000",MSPA4,PN,"54,19","5,22%","28,72%","0,00%","129,21"
-%,"0,14%","-10,56","-24,66","3,37",-,"-11,65","-27,19","0,84","0,67","-64,96","10,69%","-6,12%","-2,62%",-,R$ -,-,R$ -,"-13,32%","0,00","0,00","0,00","0,00","0,84","0,00","0,00","0,00","0,16","0,00","0,00","-11,19%","-69,40%","-21,36%","R$ 0,0000",MTIG3,ON,"0,00",-%,"0,00%",-%,"93,61"
-%,"-27,27%","17,69","7,41","0,75",-,"48,64","20,38","0,11","2,55","0,77","22,81%","10,91%","26,04%","8,05","R$ 7,55","1,22","R$ 5,65","37,70%","-0,62","1,54","30,95","12,97","0,72","0,37","-0,05","8,96","0,28","3,38","1,32","4,18%","14,68%","0,89%","R$ 0,0000",LUPA3,ON,"6,91","386,62%","-2,68%","8,82%","5,25"
-%,-%,"18,90",-,-,-,"83,23",-,"0,09","0,02","-0,10","90,77%","121,22%",-%,"31,59","R$ 20,84","3,17","R$ 19,15","-41,64%","-7,89","-2,71","64,33",-,"9,13","7,36","-1,78","-187,30","-8,13","77,98","-0,91","-3,93%","-0,48%","-1,92%","R$ 0,0000",NORD3,ON,"19,15","389,77%","-1,79%","-6,17%","-21,14"
"-25,93%","5,62%","9,04","3,60","1,01","1,59","36,93","14,70","0,42","2,12","0,32","54,72%","9,25%","23,23%","38,56","R$ 32,67","22,87","R$ 26,64","2,55%","-1,52","6,89","27,89","11,10","0,65","1,07","-1,19","101,24","0,35","2,58","3,10","1,06%","3,06%","3,27%","R$ 0,5097",YDUQ3,ON,"32,16","13,00%","-0,19%","20,72%","10,37"
-%,"-68,85%","0,85","0,62",-,-,"1,66","1,19","0,12","0,06","10,40","98,02%","1.029,99%","1.429,91%",-,"R$ 1,45",-,"R$ 0,62","13.896,67%","-1,18","-0,38","0,80","0,58","5,15","0,99","0,00","0,06","-4,15","8,28","-0,24","1.669,02%","-402,50%","-36,75%","R$ 0,0000",BPHA3,ON,"0,62",-%,"0,00%",-%,"-2,58"
"61,09%","-1,00%","-3,29","-2,43","-0,51","2,74","11,86","8,77","0,71","1,39","2,57","24,21%","11,98%","16,20%","47,11","R$ 46,97","23,44","R$ 42,57","10,08%","-3,06","7,94","15,15","11,20","0,45","1,28","0,22","18,01","0,55","1,82","2,35","7,13%","13,07%","11,01%","R$ 1,2695",KEPL3,ON,"46,31","92,64%","-1,41%","8,79%","19,67"
-%,"-19,43%","-12,17","7,23","2,84",-,"-17,82","10,58","0,13","1,88","-1,77","21,68%","-19,51%","32,85%","2,50","R$ 2,00","0,60","R$ 1,70","-113,42%","-0,25","0,64","-5,59","3,32","0,89","0,14","-0,06","-0,96","0,11","1,09","1,30","-14,26%","-135,52%","-15,72%","R$ 0,0000",OIBR3,ON,"1,70","161,54%","-1,73%","-10,05%","1,30"
"5,33%","6,45%","1,48","1,17","0,27","2,53","18,91","15,03","0,66","2,85","1,66","51,22%","13,99%","17,60%","37,79","R$ 33,00","23,36","R$ 31,71","12,29%","-4,20","4,04","17,43","13,85","0,49","1,61","0,21","19,84","0,51","2,44","3,17","8,13%","16,00%","10,26%","R$ 0,8338",OFSA3,ON,"33,00","37,10%","0,30%","3,03%","10,40"
"-13,58%","-3,59%","-1,64","-1,65","-0,15",-,"74,87","75,41","0,70","2,10","0,24","52,34%","8,15%","8,09%","38,47","R$ 33,35","19,67","R$ 31,60","4,17%","-9,19","13,98","71,50","72,02","0,37","4,07","-2,86","139,89","0,63","5,83","6,50","2,91%","4,64%","8,16%","R$ 0,0000",ALPA3,ON,"33,35","51,94%","0,03%","2,81%","5,13"
"-51,59%","4,31%","-3,77","-3,50","-0,15",-,"-3,77","-3,50","0,06","6,36","2,76","63,41%","22,35%","24,02%",-,R$ -,-,R$ -,"10,99%","0,00","0,00","0,00","0,00","0,66","0,00","0,00","0,00","0,34","0,00","0,00","0,67%","1,95%","3,94%","R$ 0,0000",LHER4,PN,"0,00",-%,"0,00%",-%,"141,54"
"9,79%","4,01%","3,24","2,59","1,03","12,78","9,47","7,57","0,74","1,03","3,06","19,42%","13,90%","17,39%","26,11","R$ 25,82","14,75","R$ 23,83","8,66%","-0,79","47,49","5,10","4,08","0,68","0,52","0,42","8,18","0,32","0,71","1,62","6,38%","19,85%","10,24%","R$ 3,1943",EKTR4,PN,"25,00","69,49%","-0,20%","4,91%","15,39"
"-0,09%","7,04%","0,26","0,12","0,04",-,"14,71","6,66","0,68","1,86","1,62","24,63%","12,85%","28,38%",-,R$ -,-,R$ -,"8,05%","0,00","0,00","0,00","0,00","0,39","0,00","0,00","0,00","0,61","0,00","0,00","5,49%","8,93%","7,94%","R$ 4,2463",LUXM3,ON,"0,00",-%,"0,00%",-%,"18,14"
"25,31%","4,51%","1,58",-,"0,33","12,78","5,71",-,"0,40","1,18","1,43","28,37%","22,83%",-%,"6,52","R$ 6,32","4,51","R$ 6,08","20,95%","-0,49","9,87","4,07",-,"0,57","0,37","0,05","4,43","0,43","0,93","0,85","8,35%","19,28%","9,83%","R$ 0,8080",CPLE3,ON,"6,32","28,46%","1,77%","0,16%","7,40"
-%,"-18,14%","-0,67",-,-,-,"-0,74",-,"0,36","0,31","-21,16","-60,76%","-92,67%",-%,-,R$ -,-,R$ -,"-101,97%","0,00","0,00","0,00",-,"2,51","0,00","0,00","0,00","-1,51","0,00","0,00","-36,57%","-24,19%","25,82%","R$ 0,0000",FBMC3,ON,"0,00",-%,"0,00%",-%,"-87,48"
"23,62%","11,38%","0,02","0,02","0,01","1,07","10,25","8,25","1,37","1,03","1,35","19,55%","6,33%","7,86%","23,66","R$ 23,66","16,93","R$ 22,71","3,75%","-1,74","66,43","10,22","8,23","0,67","0,89","0,11","17,24","0,33","0,65","2,70","5,15%","15,67%","15,00%","R$ 0,2488",CRFB3,ON,"23,19","16,77%","0,69%","1,67%","8,59"
-%,"-5,17%","31,93","16,74","0,90",-,"38,25","20,06","0,46","1,12","-6,84","29,33%","2,13%","4,05%","6,50","R$ 5,70","3,95","R$ 5,26","-10,60%","-0,07","0,99","4,11","2,16","0,65","0,04","0,00","-0,82","0,35","0,09","0,12","-4,92%","-14,06%","-1,25%","R$ 0,0000",CTNM4,PN,"5,64","19,49%","1,62%","5,03%","48,66"
"9,79%","4,01%","3,24","2,59","1,03","7,91","9,47","7,57","0,74","1,03","3,06","19,42%","13,90%","17,39%","45,57","R$ 36,69","15,00","R$ 36,69","8,66%","-1,16","69,70","7,48","5,98","0,68","0,77","0,61","12,01","0,32","1,04","2,38","6,38%","19,85%","10,24%","R$ 2,9039",EKTR3,ON,"36,69","144,60%","-0,05%","0,00%","15,39"
-%,"-8,26%","1,37","0,92","0,15","5,79","12,51","8,40","0,13","1,06","5,28","37,95%","42,39%","63,11%","47,22","R$ 47,22","26,61","R$ 34,23","90,17%","-1,09","215,12","18,07","12,14","0,50","1,01","0,17","8,49","0,50","7,66","2,04","11,88%","23,99%","-7,30%","R$ 2,5963",CESP5,PNA,"44,84","62,17%","16,59%","-5,04%","22,00"
"-24,90%",-%,"-14,58",-,"-0,34",-,"-14,58",-,"0,03","595,64","1,44","100,00%","88,45%",-%,-,R$ -,-,R$ -,"55,08%","0,00","0,00","0,00",-,"0,00","0,00","0,00","0,00","1,00","0,00","0,00","1,47%","1,47%","1,47%","R$ 0,0293",FIGE3,ON,"0,00",-%,"0,00%",-%,"97,75"
"-18,59%","-5,40%","-3,07","-10,95","-0,34","1,32","5,45","19,44","0,32","2,30","0,07","28,87%","16,28%","4,57%","14,86","R$ 10,99","5,21","R$ 10,21","0,88%","-1,68","1,08","8,52","30,39","0,52","0,45","-1,80","157,95","0,48","1,39","0,93","0,28%","0,59%","8,15%","R$ 0,1443",EVEN3,ON,"10,94","62,80%","1,20%","7,05%","11,70"
"62,59%","8,76%","8,86","5,71","2,78","14,52","24,84","16,00","0,60","1,04","2,91","15,77%","7,78%","12,08%","31,13","R$ 25,29","21,98","R$ 24,00","3,16%","-0,21","16,13","3,35","2,16","0,85","0,16","0,42","8,25","0,15","0,26","1,05","1,90%","12,75%","6,53%","R$ 3,4838",CEPE5,PNA,"24,00","4,62%","-1,23%","-5,10%","22,81"
"62,59%","8,76%","8,86","5,71","2,78","14,19","24,84","16,00","0,60","1,04","2,91","15,77%","7,78%","12,08%","43,38","R$ 27,94","18,73","R$ 27,00","3,16%","-0,24","18,15","3,77","2,43","0,85","0,18","0,47","9,28","0,15","0,29","1,18","1,90%","12,75%","6,53%","R$ 3,8322",CEPE6,PNB,"27,00","44,15%","0,00%","-3,36%","22,81"
"22,94%","-13,95%","9,63",-,"1,77","0,63","22,27",-,"0,58","2,01","0,65","10,67%","6,91%",-%,"10,97","R$ 8,85","8,12","R$ 8,37","6,39%","-0,84","2,59","12,64",-,"0,78","0,51","-0,68","13,68","0,22","0,87","2,32","3,73%","16,95%","4,59%","R$ 0,0554",JSLG3,ON,"8,82","-0,56%","0,23%","5,38%","3,80"
-%,"-11,42%","13,33","-4,25","-0,25","0,11","-148,24","47,25","0,35","1,64","-0,06","100,00%","-3,21%","10,06%","60,39","R$ 53,00","17,72","R$ 46,13","-0,67%","-2,37","19,00","-161,57","51,50","0,41","1,79","6,08","-776,65","0,59","5,18","3,03","-0,23%","-0,39%","-2,91%","R$ 0,0532",APER3,ON,"46,95","100,90%","0,88%","-11,42%","15,49"
-%,"-6,95%","-173,08",-,-,-,"-296,65",-,"0,00","0,01","-12,46","-2,34%","-556,64%",-%,"37,20","R$ 30,40","1,54","R$ 24,75","-31.589,06%","-1,46","-0,21","-123,57",-,"7,37","1,38","0,07","-2,18","-6,37","687,85","-0,22","-63,22%","-9,93%","0,43%","R$ 0,0000",MMXM3,ON,"27,14","1.617,72%","-4,17%","9,66%","-125,54"
-%,"16,06%","0,00","0,00",-,-,"-0,53","-0,54","0,46","0,52","-6,10","-7,38%","-25,80%","-25,56%","3,36","R$ 3,20","2,47","R$ 3,00","-27,61%","-0,87","-0,07","-0,53","-0,54","1,99","0,06","-0,01","-0,50","-0,99","0,14","-0,06","-12,76%","-12,93%","12,08%","R$ 0,0000",RPMG3,ON,"3,04","-2,25%","-0,65%","-5,00%","-47,18"
"69,04%","14,81%","-1,65","-1,54","-0,28","1,92","10,42","9,71","1,74","4,44","1,49","15,57%","7,83%","8,40%","28,16","R$ 20,80","9,07","R$ 18,93","5,49%","-2,30","3,98","9,67","9,01","0,19","1,32","1,49","13,79","0,81","0,76","1,62","9,55%","11,77%","11,61%","R$ 0,3953",WLMM3,ON,"20,60","54,31%","2,95%","8,82%","12,69"
-%,"-8,26%","1,37","0,92","0,15","8,73","12,51","8,40","0,13","1,06","5,28","37,95%","42,39%","63,11%","36,30","R$ 33,65","25,46","R$ 28,65","90,17%","-0,73","142,68","11,98","8,05","0,50","0,67","0,12","5,63","0,50","5,08","1,35","11,88%","23,99%","-7,30%","R$ 2,5963",CESP3,ON,"29,74","11,55%","0,71%","-11,62%","22,00"
-%,"20,13%","0,54","0,47","0,30","5,62","5,23","4,59","1,18","1,60","3,80","21,71%","17,70%","20,16%","97,01","R$ 27,89","24,30","R$ 26,00","11,99%","-1,75","6,66","4,94","4,34","0,63","1,03","0,02","7,29","0,37","0,87","2,75","14,09%","37,71%","32,96%","R$ 1,5604",GPCP4,PN,"27,75","11,00%","-0,50%","5,47%","10,09"
-%,"20,13%","0,54","0,47","0,30","1,17","5,23","4,59","1,18","1,60","3,80","21,71%","17,70%","20,16%","27,18","R$ 26,25","3,88","R$ 21,07","11,99%","-1,66","6,30","4,67","4,10","0,63","0,97","0,02","6,90","0,37","0,83","2,60","14,09%","37,71%","32,96%","R$ 0,3067",GPCP3,ON,"26,25","432,45%","6,06%","23,94%","10,09"
-%,"6,86%","18,49","9,64","0,88","1,19","39,54","20,62","0,73","1,01","-0,03","15,55%","2,86%","5,48%","3,92","R$ 2,69","1,24","R$ 2,52","-0,79%","-0,74","82,06","21,05","10,98","0,56","0,44","0,56","-75,88","0,44","0,60","1,01","-0,58%","-1,33%","1,39%","R$ 0,0304",CTSA3,ON,"2,56","77,78%","-0,78%","0,79%","2,55"
"8,63%","6,34%","-2,24","-1,48","-0,34","0,69","43,50","28,67","0,50","1,39","0,51","70,08%","15,16%","23,00%","34,73","R$ 31,32","17,15","R$ 28,73","11,36%","-7,78","22,73","45,74","30,15","0,49","3,50","1,50","61,03","0,51","6,93","6,91","5,73%","11,33%","10,50%","R$ 0,2134",TOTS3,ON,"31,15","59,66%","-0,51%","8,42%","4,51"
"-28,28%","-29,67%","-510,44","142,32",-,-,"-572,65","159,67","0,03","1,38","0,54","33,65%","-3,93%","14,10%","6,42","R$ 4,20","1,70","R$ 3,98","31,82%","-0,13","0,62","-60,50","16,87","1,48","0,07","-0,07","7,48","-0,48","2,38","-0,15","0,98%","-2,03%","-1,17%","R$ 0,0000",RNEW4,PN,"4,02","74,78%","1,01%","-4,29%","-26,55"
"49,24%","-2,05%","-0,06","-0,05","-0,01","2,41","13,61","11,72","0,99","2,52","1,12","19,78%","10,49%","12,19%","29,50","R$ 22,34","15,33","R$ 18,93","7,28%","-2,85","4,66","13,67","11,77","0,39","1,41","-0,32","19,72","0,61","1,43","2,32","7,17%","11,77%","9,39%","R$ 0,5304",TGMA3,ON,"22,00","21,61%","0,00%","16,22%","9,48"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-%,"12,49%","-6,05","-11,57","4,15",-,"-27,94","-53,41","0,44","1,09","-1,78","48,36%","-15,73%","-8,23%",-,"R$ 24,55",-,"R$ 22,70","-25,77%","-2,27","57,90","-21,89","-41,84","0,90","1,53","0,01","-13,36","0,10","3,44","15,00","-11,46%","-112,29%","-13,15%","R$ 0,0000",SEDU3,ON,"23,80",-%,"0,00%",-%,"1,59"
"11,08%","3,79%","-6,22",-,"-1,17","5,98","2,76",-,"0,51","1,21","5,22","100,00%","9,04%",-%,"56,03","R$ 48,64","37,68","R$ 44,79","9,07%","-1,30","3,49","8,98",-,"0,76","0,41","0,40","8,96","0,24","0,81","1,69","4,60%","18,83%","8,56%","R$ 2,7997",PSSA3,ON,"46,79","5,19%","1,15%","4,47%","27,74"
"7,78%","2,59%","1,85","0,89","0,41","0,81","12,60","6,03","0,32","0,88","1,27","30,16%","26,71%","55,84%","73,35","R$ 41,52","27,82","R$ 41,52","11,94%","-1,52","-52,99","14,66","7,01","0,61","1,27","-2,26","32,81","0,39","3,92","3,27","3,87%","9,98%","10,23%","R$ 0,3366",MRSA3B,ON,"41,52","16,34%","-18,73%","0,00%","12,68"
"64,28%","62,04%","4,21","2,35","0,53",-,"4,21","2,35","0,87","1,71","1,31","42,91%","5,08%","9,13%",-,R$ -,-,R$ -,"4,04%","0,00","0,00","0,00","0,00","0,65","0,00","0,00","0,00","0,35","0,00","0,00","3,51%","9,95%","5,00%","R$ 0,0000",PTCA11,,"0,00",-%,"0,00%",-%,"13,13"
"88,47%","9,91%","2,00","1,49","0,26","5,79","26,28","19,54","0,56","1,82","2,38","30,71%","10,98%","14,77%","35,75","R$ 35,75","6,71","R$ 26,20","17,93%","-3,83","5,38","24,28","18,05","0,53","1,49","0,43","14,87","0,47","2,67","3,19","9,99%","21,42%","7,50%","R$ 2,0500",ROMI3,ON,"35,38","374,26%","-1,03%","29,36%","11,11"
-%,"-41,45%","1,20",-,"-0,16",-,"-2,66",-,"0,02","2,89","-6,38","-26,75%","-721,03%",-%,"28,00","R$ 23,40","17,88","R$ 21,38","-762,69%","-0,60","3,26","-3,85",-,"0,11","0,46","-0,06","-3,64","0,89","27,78","0,53","-12,76%","-14,41%","-15,48%","R$ 0,0000",CRDE3,ON,"23,24","25,22%","3,06%","8,70%","44,27"
-%,"4,94%","3,91",-,-,-,"5,21",-,"0,46","0,34","-3,61","33,68%","9,39%",-%,"27,65","R$ 25,44","19,10","R$ 21,25","-1,74%","-0,08","-0,10","1,31",-,"1,14","0,06","0,52","-7,04","-0,14","0,12","-0,41","-0,81%","-5,87%","91,13%","R$ 0,0000",MNDL3,ON,"25,44","21,14%","0,55%","13,57%","-61,60"
"-25,49%","7,42%","2,63","2,90","0,42","0,19","7,70","8,52","0,08","0,54","0,16","68,77%","46,38%","41,94%","46,00","R$ 26,00","9,00","R$ 23,70","1,45%","-0,21","-1,40","5,07","5,61","0,78","0,18","-1,60","162,21","0,22","2,35","0,81","0,11%","0,50%","7,80%","R$ 0,0489",HBTS5,PNA,"26,00","188,89%","3,54%","9,70%","32,20"
"12,13%","0,12%","-0,10",-,-,-,"4,06",-,"0,50","1,76","0,47","28,14%","25,23%",-%,"2,75","R$ 2,44","1,65","R$ 2,23","18,71%","-2,60","1,29","3,64",-,"2,17","0,46","0,04","4,91","-1,17","0,92","-0,39","9,34%","-7,98%","-17,58%","R$ 0,0000",HAGA4,PN,"2,30","25,68%","1,32%","-0,86%","-5,88"
"12,13%","0,12%","-0,10",-,-,-,"4,06",-,"0,50","1,76","0,47","28,14%","25,23%",-%,"4,86","R$ 3,45","2,85","R$ 3,25","18,71%","-3,70","1,84","5,19",-,"2,17","0,65","0,06","7,00","-1,17","1,31","-0,56","9,34%","-7,98%","-17,58%","R$ 0,0000",HAGA3,ON,"3,28","-13,23%","0,61%","-2,67%","-5,88"
"1,09%","-5,19%","1,85","1,56","1,75","8,56","4,71","3,97","0,20","0,94","2,12","94,37%","86,92%","103,11%","17,66","R$ 12,54","12,29","R$ 12,54","42,17%","-0,66","-31,02","2,86","2,41","0,82","0,50","0,03","5,90","0,18","2,49","2,72","8,45%","46,03%","19,40%","R$ 1,0731",TIET11,,"12,54","-8,00%","-28,10%","0,00%","4,62"
"-3,40%",-%,"-16,03",-,"-0,33",-,-,-,"0,00","13,21","11.800,56",-%,-%,-%,-,R$ -,-,R$ -,-%,"0,00","0,00","0,00",-,"0,04","0,00","0,00","0,00","0,96",-,"0,00","4,40%","4,60%","-0,28%","R$ 0,0000",BFRE11,,"0,00",-%,"0,00%",-%,"256.545,33"
-%,-%,"-0,04",-,"-0,01","7,93","16,44",-,"0,00","11,80","4,22",-%,-%,-%,"64,90","R$ 62,42","22,92","R$ 54,23",-%,"-2,00","57,15","14,87",-,"0,00","1,92","-0,03","14,81","1,00",-,"1,93","12,99%","13,03%","12,98%","R$ 4,9512",BRAP3,ON,"62,42","161,06%","1,58%","15,10%","32,34"
-%,"94,65%","8,00",-,"-0,24","3,00","-103,65",-,"0,07","4,27","-0,76","-1,66%","-27,33%",-%,"271,00","R$ 271,00","120,45","R$ 250,98","-8,59%","-3,57","6,02","-111,66",-,"0,41","2,01","3,25","-355,28","0,59","30,52","3,41","-0,57%","-0,96%","-7,67%","R$ 8,1216",MOAR3,ON,"271,00","108,24%","0,37%","7,98%","79,41"
-%,"7,27%","8,86","4,92","50,30",-,"12,42","6,90","0,84","1,20","-37,05","17,45%","5,03%","9,05%","130,00","R$ 67,00","53,01","R$ 63,00","-10,53%","-0,48","1,31","3,56","1,98","0,99","0,15","0,00","-1,70","0,01","0,18","20,21","-8,85%","-1.188,66%","5,42%","R$ 0,0000",FRIO3,ON,"63,00","18,85%","0,00%","-5,93%","3,12"
-%,"4,62%","0,01","0,01",-,-,"2,32","1,98","1,06","0,21","2,33","28,27%","14,58%","17,04%","13,03","R$ 13,03","3,60","R$ 8,86","6,37%","-0,63","-0,22","2,31","1,98","2,54","0,36","-0,04","5,29","-1,54","0,34","-0,23","6,78%","-4,41%","-8,24%","R$ 0,0000",MNPR3,ON,"12,34","193,81%","0,41%","26,18%","-52,92"
"24,38%","5,55%","-0,78","-0,64","-0,08","1,29","26,07","21,46","0,60","5,24","1,11","29,08%","13,26%","16,11%","44,92","R$ 33,00","8,62","R$ 27,70","16,10%","-6,01","6,38","34,87","28,71","0,25","2,78","0,18","28,73","0,75","4,63","3,68","9,67%","12,82%","6,74%","R$ 0,4130",DOHL3,ON,"31,91","270,19%","-1,82%","15,20%","8,67"
